📍 Resuming from checkpoint: 0 records
🚀 Starting import with batch size: 2000
📊 Target file: pp-complete.csv
✅ Imported 2,000 records (4890/sec)
✅ Imported 4,000 records (6547/sec)
✅ Imported 6,000 records (7772/sec)
✅ Imported 8,000 records (8621/sec)
✅ Imported 10,000 records (9643/sec)
✅ Imported 12,000 records (10554/sec)
✅ Imported 14,000 records (11218/sec)
✅ Imported 16,000 records (11949/sec)
✅ Imported 18,000 records (12623/sec)
✅ Imported 20,000 records (13123/sec)
✅ Imported 22,000 records (13472/sec)
✅ Imported 24,000 records (13675/sec)
✅ Imported 26,000 records (13919/sec)
✅ Imported 28,000 records (13951/sec)
✅ Imported 30,000 records (12664/sec)
✅ Imported 32,000 records (12427/sec)
✅ Imported 34,000 records (12213/sec)
✅ Imported 36,000 records (12299/sec)
✅ Imported 38,000 records (12529/sec)
✅ Imported 40,000 records (12516/sec)
✅ Imported 42,000 records (12832/sec)
✅ Imported 44,000 records (13084/sec)
✅ Imported 46,000 records (13188/sec)
✅ Imported 48,000 records (13219/sec)
✅ Imported 50,000 records (13270/sec)
✅ Imported 52,000 records (13347/sec)
✅ Imported 54,000 records (13426/sec)
✅ Imported 56,000 records (13458/sec)
✅ Imported 58,000 records (13432/sec)
✅ Imported 60,000 records (13330/sec)
✅ Imported 62,000 records (13351/sec)
✅ Imported 64,000 records (13317/sec)
✅ Imported 66,000 records (13415/sec)
✅ Imported 68,000 records (13524/sec)
✅ Imported 70,000 records (13640/sec)
✅ Imported 72,000 records (13683/sec)
✅ Imported 74,000 records (13727/sec)
✅ Imported 76,000 records (13711/sec)
✅ Imported 78,000 records (13791/sec)
✅ Imported 80,000 records (13896/sec)
✅ Imported 82,000 records (13972/sec)
✅ Imported 84,000 records (14059/sec)
✅ Imported 86,000 records (14149/sec)
✅ Imported 88,000 records (14258/sec)
✅ Imported 90,000 records (14361/sec)
✅ Imported 92,000 records (14495/sec)
✅ Imported 94,000 records (14560/sec)
✅ Imported 96,000 records (14659/sec)
✅ Imported 98,000 records (14761/sec)
✅ Imported 100,000 records (14861/sec)
✅ Imported 102,000 records (14954/sec)
✅ Imported 104,000 records (15066/sec)
✅ Imported 106,000 records (15173/sec)
✅ Imported 108,000 records (15269/sec)
✅ Imported 110,000 records (15337/sec)
✅ Imported 112,000 records (15385/sec)
✅ Imported 114,000 records (15430/sec)
✅ Imported 116,000 records (15539/sec)
