2025-07-16T12:46:57.333Z: Setting up SQLite database and EPC table...
2025-07-16T12:46:57.351Z: Database setup complete.
2025-07-16T12:46:57.352Z: Loading EPC data into SQLite...
2025-07-16T12:46:57.779Z: Loaded 100,000 EPC records into DB...
2025-07-16T12:46:58.151Z: Loaded 200,000 EPC records into DB...
2025-07-16T12:46:58.510Z: Loaded 300,000 EPC records into DB...
2025-07-16T12:46:58.865Z: Loaded 400,000 EPC records into DB...
2025-07-16T12:46:59.220Z: Loaded 500,000 EPC records into DB...
2025-07-16T12:46:59.571Z: Loaded 600,000 EPC records into DB...
2025-07-16T12:46:59.921Z: Loaded 700,000 EPC records into DB...
2025-07-16T12:47:00.264Z: Loaded 800,000 EPC records into DB...
2025-07-16T12:47:00.613Z: Loaded 900,000 EPC records into DB...
2025-07-16T12:47:00.966Z: Loaded 1,000,000 EPC records into DB...
2025-07-16T12:47:01.313Z: Loaded 1,100,000 EPC records into DB...
2025-07-16T12:47:01.664Z: Loaded 1,200,000 EPC records into DB...
2025-07-16T12:47:02.017Z: Loaded 1,300,000 EPC records into DB...
2025-07-16T12:47:02.366Z: Loaded 1,400,000 EPC records into DB...
2025-07-16T12:47:02.720Z: Loaded 1,500,000 EPC records into DB...
2025-07-16T12:47:03.071Z: Loaded 1,600,000 EPC records into DB...
2025-07-16T12:47:03.463Z: Loaded 1,700,000 EPC records into DB...
2025-07-16T12:47:03.809Z: Loaded 1,800,000 EPC records into DB...
2025-07-16T12:47:04.156Z: Loaded 1,900,000 EPC records into DB...
2025-07-16T12:47:04.509Z: Loaded 2,000,000 EPC records into DB...
2025-07-16T12:47:04.865Z: Loaded 2,100,000 EPC records into DB...
2025-07-16T12:47:05.217Z: Loaded 2,200,000 EPC records into DB...
2025-07-16T12:47:05.564Z: Loaded 2,300,000 EPC records into DB...
2025-07-16T12:47:05.914Z: Loaded 2,400,000 EPC records into DB...
2025-07-16T12:47:06.272Z: Loaded 2,500,000 EPC records into DB...
2025-07-16T12:47:06.623Z: Loaded 2,600,000 EPC records into DB...
2025-07-16T12:47:06.978Z: Loaded 2,700,000 EPC records into DB...
2025-07-16T12:47:07.327Z: Loaded 2,800,000 EPC records into DB...
2025-07-16T12:47:07.672Z: Loaded 2,900,000 EPC records into DB...
2025-07-16T12:47:08.022Z: Loaded 3,000,000 EPC records into DB...
2025-07-16T12:47:08.368Z: Loaded 3,100,000 EPC records into DB...
2025-07-16T12:47:08.717Z: Loaded 3,200,000 EPC records into DB...
2025-07-16T12:47:09.069Z: Loaded 3,300,000 EPC records into DB...
